language,service_type,port,docker_template,active,language_type
Ada,,,,no,language
Awk,,,,no,language
dotnet,,,,no,
Elixir,,,,no,language
Fortran,proxy,8008,generic,no,language
Go,proxy,8002,go,no,language
Java,proxy,8009,java,no,language
Lisp,,,,no,language
Odin,,,,no,language
Pascal,,,,no,language
Perl,fastcgi,8005,generic,no,language
Phoenix,,,,no,framework
PHP,,,,no,language
Rack,,,,no,
Ruby,,,,yes,language
Ruby on Rails,,,,yes,framework
Rust,proxy,8001,rust,no,language
Rust,,,,no,language
Swift,,,,no,language
Zig,,,,no,language
